Date,Carbon_Monoxide (mg/m3),PM2.5 (µg/m3),PM10 (µg/m3),NO2 (µg/m3),NH3 (µg/m3),SO2 (µg/m3),O3 (µg/m3),Temperature (°C),Humidity (%),Wind_Speed (m/s),AQI
2022-01-01,1.5850080093476848,62.2788059463064,73.38985172808388,54.81537333240375,40.74729012917854,13.561569591829311,87.74695548364959,14.276044870756595,74.66820805026367,0.708589712454258,Moderate
2022-01-02,0.9161582654313689,36.62283387923892,54.16788764990827,37.9030621611205,9.453588053391808,31.114584238352478,96.94482234712868,6.867912715404523,45.66670245122432,2.97351351051661,Good
2022-01-03,1.6895954940932845,96.60785208491919,268.38356606130367,83.07709681517215,17.21216277858131,23.228545515042878,31.311282632729167,42.80754319038178,88.45271914502885,2.601461542558167,Moderate
2022-01-04,0.5072750539624644,166.40830335672513,109.11872805967363,88.04369359010097,43.4799239898848,14.399499921722438,38.79281559407261,17.549410353786158,50.40940966828306,4.6752901997278755,Unhealthy
2022-01-05,0.2548346353561282,88.0115564588125,102.87668732044202,70.57073496598093,20.59111791854002,32.18123939287367,66.38500177940259,22.70356093297835,30.53139855412514,1.658038946852895,Moderate
2022-01-06,0.5680070704356915,105.51117916932232,234.00885010651638,14.226798016690056,48.78704072813725,24.327779806084628,46.3660890967002,9.585597743428274,52.61767237302957,1.7142505398099244,Unhealthy for Sensitive Groups
2022-01-07,0.8127408010056674,144.8497515064646,130.00402827184794,60.96905921498789,49.08804506482369,28.13408372273865,104.65626352461895,38.47697319637168,67.53260157957078,2.3510581199667517,Unhealthy for Sensitive Groups
2022-01-08,1.1190453634272077,116.51199191187963,176.51117310295916,78.69654207975535,17.072420920410053,16.301537400226536,62.11361691125923,6.105273314237225,78.2558046353065,1.5951637103286922,Unhealthy for Sensitive Groups
2022-01-09,1.3072324529741597,176.4457666236251,90.62776632436407,22.285271087522396,6.84402000124507,21.844588313966177,97.95365085122033,38.35963048396386,52.1137802969615,1.0813276301393726,Unhealthy
2022-01-10,1.8390902909859592,177.2260647577786,289.9364303654923,30.5803676246143,36.72784778924206,26.607398784582347,73.8681736530589,10.61140051151867,61.55247782344173,4.3583668099286035,Unhealthy
2022-01-11,1.1177372171908238,31.68481823349612,262.8953500043093,89.42455945613229,25.29439261917547,19.17187849944454,95.03991557788231,40.462564505246085,38.714129851119736,3.0122443598176214,Good
2022-01-12,1.1022961603263128,162.26787210214385,265.9474057412508,11.810954966776663,9.533877978180932,11.943038894669545,46.59402851833562,34.190905493446294,65.21415684838598,4.376132235304551,Unhealthy
2022-01-13,0.2904374176813679,108.32471204108455,151.6934371430013,77.74544240433784,36.83852685401193,38.65741723103564,101.45582841233423,11.586810500292204,89.01803607652406,4.240106444316631,Unhealthy for Sensitive Groups
2022-01-14,0.26284079478120287,198.10289202162272,240.5903034267932,52.63959632629806,6.402870910036455,22.90136390149161,40.202954710612374,27.632719714378723,23.43375008114557,1.76919059655352,Unhealthy
2022-01-15,1.1920879314494697,112.14945289882398,85.96903884744503,50.20949429556462,44.158851072150895,30.68721296006952,70.07086888036199,17.50625257420878,82.05714694936174,2.964818499459233,Unhealthy for Sensitive Groups
2022-01-16,0.9887215038470201,197.77231071601057,52.15475064794507,10.638687924539846,11.239363810098666,19.386651774462035,33.54078244912617,12.129323956463338,59.3597751937266,0.874479662330317,Unhealthy
2022-01-17,1.7105247109645374,158.27679140497523,54.99323314450703,83.74584078698435,10.729034543602626,17.42961174090007,62.30791737888127,39.36728797644434,37.646906169360996,4.618633478138413,Unhealthy
2022-01-18,0.48922325248132137,72.26283038426207,196.65043435114012,42.384241057290986,12.905253408586304,19.250750446349375,44.999273045957345,21.140910660289176,86.84227970064805,2.319182217793189,Moderate
2022-01-19,0.2449489918106893,121.52714647878281,163.84872631198522,58.668906817048864,48.211986132143,19.321882532497742,39.33737737009356,20.9417485746153,53.834801214122926,2.271542827500596,Unhealthy for Sensitive Groups
2022-01-20,1.0082697822742266,198.66305871135907,179.50383722712994,70.95706177020935,36.192621211423074,24.046304057968374,116.36835198308412,11.7954669922648,43.21831761713699,1.8623991677807894,Unhealthy
2022-01-21,0.6274614021540634,175.78020331782702,51.86578510430485,73.23666187941242,41.06171909586365,24.02144544934771,27.608151603540367,20.322627043431147,32.70483397895888,2.5729868511981673,Unhealthy
2022-01-22,0.2893058720099074,46.552371944507584,155.67165491435642,96.03820529434651,22.893574357973886,22.400383555900508,96.60584212031348,39.86467385315401,37.111654717966346,1.6329172394545162,Good
2022-01-23,1.5042769163257321,150.08323945769934,229.5170403002152,57.82059579129482,20.134072737723002,9.717502472110333,118.25814554315365,19.525148419585435,78.29943291140097,2.1868352275856204,Unhealthy
2022-01-24,0.40086739992304543,88.74852959803822,160.67342549185895,45.97475958769848,15.551780305242648,22.36264174751859,12.189163211408562,43.06414249999152,63.00870065220161,4.099761718631968,Moderate
2022-01-25,1.294975100013989,31.18698451965918,233.05480157805556,95.83332638425371,26.6291612740584,10.918636514722802,86.89301554463044,42.8523559683355,83.92719336418213,4.254149766133273,Good
2022-01-26,0.7058895503004006,98.59176473458993,108.2547410992087,67.7899211522969,29.83229300903758,9.41475252035178,37.82029861119158,10.795946372293841,36.23779165104501,1.8688211493283227,Moderate
2022-01-27,0.5122928906390396,69.90825169324512,253.28550112043138,36.83353206489001,33.429867964374,37.64260010694087,14.45366067611349,12.092450140905795,28.479700169423104,2.6105649374875455,Moderate
2022-01-28,0.8835527412547715,169.20777598848017,197.1078101133631,21.381782086321405,16.570332679941252,26.173250460169648,54.31785368522939,39.506962813275564,20.426127168291302,4.432188993260235,Unhealthy
2022-01-29,1.6426023972013166,87.34620350378013,102.69077485747655,85.82990513186631,47.689433640634576,28.08215203436045,112.87395911879625,20.71043675698877,55.55034263311956,0.737029993233637,Moderate
2022-01-30,0.905768438428231,170.6790279721489,109.18011896345823,42.59634425147364,12.639132419321113,19.062778461667733,11.294160380369746,5.1749592913203735,89.88148512673916,4.501152328981035,Unhealthy
2022-01-31,1.5513853685799002,30.101649601915202,207.00761614238425,69.4422749227988,48.454392864488554,36.814331217020246,74.66742611227599,15.95487278821484,68.64756881730473,1.4863295554354927,Good
2022-02-01,0.42587533423847124,82.32925550444025,257.48489830311087,52.37347774293083,5.668525512837671,27.32756713528829,65.15361264548568,28.905159727822397,41.58762143756022,3.553426598964691,Moderate
